ID,PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,INDENTIFICADOR,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,NPLACES ESTACIÓ,CODIMUN,TIPUS VEHICLE,Columna amb georeferència
,,,semiRAPID,MENNEKES,41.59329,2.28172,EdRsR Can Muntanyola (7.5kW),7.5,AC,,"Camí del Mig, 22",Barcelona,08,Granollers,,,,POINT (2.28172 41.59329)
,Restaurant Sol i vi,RESTAURANT,semiRAPID i NORMAL,MENNEKES.F+Schuko+J1772,41.40167,1.75702,Restaurant Sol i vi,,,,"Carretera de Sant Sadurní d'Anoia a Vilafranca del Penedès, km 4",Barcelona,08,Subirats,2,,cotxe i moto,POINT (1.75702 41.40167)
,,,NORMAL,MENNEKES.M,41.40323,2.17113,Aparcament Sicilia,,,,"Carrer de Sicilia, 257",Barcelona,08,Barcelona,2,,,POINT (2.17113 41.40323)
,Endesa-Cepsa,ESTACIÓ SERVEI,FORA DE SERVEI,CHAdeMO,41.40604,2.201385,EdRR ES Cepsa-Endesa (DC50kW),50,DC,,"Carrer de Lope de Vega, 125",Barcelona,08,Barcelona,1,,cotxe,POINT (2.201385 41.40604)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.4067,2.2184,B:SM 13 - García Fària,,,BSM012,"Passeig de Garcia Fària, 71",Barcelona,08,Barcelona,2,,cotxe,POINT (2.2184 41.4067)
,GAICU,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,4140562,2.19299,(eDUM) El Parc i la Llacuna (7.4kW),7.5,AC,QC001,"Carrer de la Llacuna, 149",Barcelona,08,Barcelona,2,,mercaderies,POINT (2.19299 4140562)
,Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.49223,2.1856,EdRR Montcada i Reixac (DC50kW AC43kW) AMB10,50,AC-DC,AMB10,"Carrer Tarragona, 32",Barcelona,08,Montcada i Reixac,2,,,POINT (2.1856 41.49223)
,,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,40.7949,0.52572,EdRsR-EdRR CC Baix Ebre-Tortosa (DC28kW AC22kW) PIRVEC-26,28,AC-DC,PIRVEC-26,"Avinguda de Barcelona, 221",Tarragona,43,Tortosa,,,,POINT (0.52572 40.7949)
,Aparcament MERCOLLEIDA,APARCAMENT PUBLIC,NORMAL,Schuko,41.6192746,0.636889399999973,Aparcament MERCOLLEIDA,,,,"Avinguda Tortosa,4",Lleida,25,Lleida,1,,,POINT (0.6368893999999727 41.6192746)
,Hotel MEDITERREAN LODGE L'Ampolla Resort,HOTEL,NORMAL,Schuko,40.8212,0.6887,Hotel MEDITERRANEAN LODGE L'Ampolla Resort,,,,"Partida Mataret, 155",Tarragona,43,L'Ampolla,1,,cotxe i moto,POINT (0.6887 40.8212)
